order_id,product_id,product_name,category,price,quantity,order_date,customer_id,country
ORD35197,P002,Smartphone,Electronics,800.0,4,2025-03-23T16:29:34.076279,CUST384,France
ORD81445,P006,Book: The Data Engineer,Books,30.0,5,2024-11-25T16:29:34.076405,CUST860,USA
ORD21870,P005,Coffee Maker,Home Goods,100.0,4,2024-09-06T16:29:34.076417,CUST260,Canada
ORD25365,P005,Coffee Maker,Home Goods,100.0,5,2024-11-16T16:29:34.076424,CUST181,Germany
ORD45522,P003,T-Shirt,Apparel,25.0,2,2025-01-06T16:29:34.076430,CUST641,France
ORD31155,P005,Coffee Maker,Home Goods,100.0,4,2025-03-17T16:29:34.076436,CUST138,Germany
ORD61612,P006,Book: The Data Engineer,Books,30.0,3,2025-06-25T16:29:34.076442,CUST442,Canada
ORD58006,P001,Laptop,Electronics,1200.0,5,2025-02-26T16:29:34.076448,CUST851,UK
ORD60667,P001,Laptop,Electronics,1200.0,3,2024-09-01T16:29:34.076454,CUST247,UK
ORD68736,P002,Smartphone,Electronics,800.0,5,2025-04-28T16:29:34.076459,CUST701,UK
ORD82019,P001,Laptop,Electronics,1200.0,4,2025-06-20T16:29:34.076464,CUST519,USA
ORD72921,P001,Laptop,Electronics,1200.0,5,2025-06-17T16:29:34.076470,CUST430,Germany
ORD21795,P001,Laptop,Electronics,1200.0,5,2025-04-18T16:29:34.076475,CUST325,France
ORD41947,P006,Book: The Data Engineer,Books,30.0,3,2024-12-31T16:29:34.076481,CUST157,Australia
ORD86215,P006,Book: The Data Engineer,Books,30.0,5,2025-05-11T16:29:34.076487,CUST851,USA
ORD94025,P001,Laptop,Electronics,1200.0,2,2025-04-04T16:29:34.076492,CUST544,Canada
ORD48181,P006,Book: The Data Engineer,Books,30.0,3,2025-01-22T16:29:34.076497,CUST535,Germany
ORD20337,P005,Coffee Maker,Home Goods,100.0,3,2025-06-28T16:29:34.076503,CUST996,France
ORD52415,P004,Jeans,Apparel,75.0,4,2024-11-24T16:29:34.076508,CUST969,Canada
ORD86194,P005,Coffee Maker,Home Goods,100.0,4,2025-06-14T16:29:34.076514,CUST431,France
